Generation  0 :
[2.388702449057477, -4.428532357378065e-18, 3.719949358824128e-06, 2.7070450375210467e-09, -1.2486049836655162, 1.712455798799604e-19, 7.808053560215505e-21, 5.0302136123933467e-14, 1.056441508086754e-07, -1.9898530793314443e-15, -3.9842623013157476e-15]  :  [86039524180.61018, 86040999679.32416]
[2.883534408773367, -4.428532357378065e-18, 4.0527551566476345e-06, 2.8386944223558204e-09, -1.2486049836655162, 1.8615280000754622e-19, 1.1190695968776513e-20, 5.672065369796249e-14, 1.056441508086754e-07, -2.810821320977942e-15, -3.8118091284321146e-15]  :  [86035415701.5964, 86041077743.10568]
[2.388702449057477, -4.428532357378065e-18, 4.217340042826153e-06, 2.8386944223558204e-09, -1.2486049836655162, 1.6870729404743128e-19, 9.991274915852998e-21, 5.672065369796249e-14, 1.056441508086754e-07, -2.4560982109905085e-15, -4.239677428043656e-15]  :  [86041513612.70126, 86040168007.64015]
[3.9647716985442836, -2.609178102429896e-18, 3.4479874160422165e-06, 3.875393757945888e-09, -1.0231085399623392, 1.465922091147994e-19, 7.776553168231128e-21, 4.1322362395387276e-14, 8.226066432331398e-08, -3.359959940071086e-15, -4.129382595819166e-15]  :  [135326829890.21623, 168806277567.22644]
[1.7492759273669007, -3.9049315115907864e-18, 4.0527551566476345e-06, 2.424210683753416e-09, -1.2486049836655162, 2.2603753642682676e-19, 8.723578183341692e-21, 7.940838823155303e-14, 1.2670129968081625e-07, -3.0971413243480615e-15, -3.8118091284321146e-15]  :  [80815984151.08722, 187466779343.74576]
[2.4057823365819373, -3.99291457515462e-18, 3.3448528690780507e-06, 2.3775531074725016e-09, -0.9947781081320157, 1.5008799781457773e-19, 6.593151375049747e-21, 5.672065369796249e-14, 9.059657445260253e-08, -3.0305411788245853e-15, -5.70767851740745e-15]  :  [177601356988.53387, 308901053930.27686]
[2.388702449057477, -3.814575648367879e-18, 4.217340042826153e-06, 3.4624685327204384e-09, -1.5529438078448223, 1.6870729404743128e-19, 1.0768001731470769e-20, 5.672065369796249e-14, 1.2446670088793074e-07, -2.4560982109905085e-15, -4.239677428043656e-15]  :  [271096736097.35638, 358326653750.0308]
[2.2034577736468397, -3.949456210486862e-18, 3.7747968883870614e-06, 3.0607219335272634e-09, -1.064519438647217, 1.9854321063986546e-19, 1.2509666171230338e-20, 3.7354684733762223e-14, 1.0903687868464232e-07, -3.198823250629529e-15, -4.712858101442592e-15]  :  [175176171031.3634, 371888774328.7716]
[2.388702449057477, -4.428532357378065e-18, 4.9527522465793765e-06, 2.8386944223558204e-09, -1.0977156866720401, 1.9107121260776144e-19, 8.126150978115383e-21, 5.2374039261095043e-14, 1.1673136772566695e-07, -1.739827756742513e-15, -3.116841292499387e-15]  :  [171722235410.0837, 390424170281.11926]
[2.919627235083223, -4.776770368889341e-18, 3.4211554917817343e-06, 3.075065174128423e-09, -0.9404572529314029, 1.9295349286664594e-19, 1.430770874245914e-20, 3.81239564231481e-14, 9.229684392578713e-08, -2.2408425823022774e-15, -3.5513851050922202e-15]  :  [251991602093.93695, 486323834545.8832]
Best =  172080523859.93433  =>  [2.388702449057477, -4.428532357378065e-18, 3.719949358824128e-06, 2.7070450375210467e-09, -1.2486049836655162, 1.712455798799604e-19, 7.808053560215505e-21, 5.0302136123933467e-14, 1.056441508086754e-07, -1.9898530793314443e-15, -3.9842623013157476e-15] [86039524180.61018, 86040999679.32416]

Generation  1 :
[2.388702449057477, -4.428532357378065e-18, 3.719949358824128e-06, 2.7070450375210467e-09, -1.2486049836655162, 1.712455798799604e-19, 7.808053560215505e-21, 5.0302136123933467e-14, 1.056441508086754e-07, -1.9898530793314443e-15, -3.9842623013157476e-15]  :  [86039524180.61018, 86040999679.32416]
[2.883534408773367, -4.428532357378065e-18, 4.0527551566476345e-06, 2.8386944223558204e-09, -1.2486049836655162, 1.8615280000754622e-19, 1.1190695968776513e-20, 5.672065369796249e-14, 1.056441508086754e-07, -2.810821320977942e-15, -3.8118091284321146e-15]  :  [86035415701.5964, 86041077743.10568]
[2.388702449057477, -4.428532357378065e-18, 4.217340042826153e-06, 2.8386944223558204e-09, -1.2486049836655162, 1.6870729404743128e-19, 9.991274915852998e-21, 5.672065369796249e-14, 1.056441508086754e-07, -2.4560982109905085e-15, -4.239677428043656e-15]  :  [86041513612.70126, 86040168007.64015]
[2.1623551092626703, -5.317989769733146e-18, 4.767592036949755e-06, 3.490789825652319e-09, -1.2486049836655162, 1.341219635657715e-19, 9.991274915852998e-21, 5.672065369796249e-14, 9.914200936527726e-08, -2.198531881936122e-15, -4.985855389460134e-15]  :  [102468493057.83896, 83422429972.9267]
[3.6926057261077037, -4.428532357378065e-18, 3.212403094949283e-06, 4.273608477622944e-09, -1.2034420966738535, 1.2399843937521462e-19, 9.991274915852998e-21, 4.1322362395387276e-14, 1.056441508086754e-07, -2.476103373134608e-15, -4.330705634514578e-15]  :  [83506117093.76566, 105438412555.72516]
[2.388702449057477, -4.428532357378065e-18, 3.4479874160422165e-06, 2.3831098103116815e-09, -1.0657585782756829, 1.806824296251553e-19, 8.325141702384394e-21, 5.290354884648297e-14, 8.027981993777446e-08, -2.6293808065490676e-15, -3.2261463249456412e-15]  :  [117730151676.27493, 104360701451.77875]
[2.3375051036482293, -4.428532357378065e-18, 4.557058624242092e-06, 2.6299310695281764e-09, -1.3508412129946015, 2.002406391068144e-19, 1.2023300455883413e-20, 6.345712977481825e-14, 1.009631928570033e-07, -3.199511240356935e-15, -4.712858101442592e-15]  :  [168418765754.85468, 163534824792.9304]
